nom_simple_2020,nom_simple_2023
Altres conreus herbacis,Conreus abandonats - prats en zones forestals
Altres conreus herbacis,Prats i herbassars
Altres conreus herbacis,Vinyes abandonades - prats en zones agricoles
Altres conreus herbacis abandonats regadiu no regat - prats en zones agricoles,Altres conreus herbacis en regadiu
Altres conreus herbacis en regadiu,Prats i herbassars
Alzinar (>= 20%cc),Matollars
Alzinar (>= 20%cc),Pineda de pi blanc (>= 20%cc)
Alzinar (>= 20%cc),Regeneracio de pi blanc
Alzinar (5-20%cc),Matollars
Arbrat urba,Edificis entre mitgeres
Arbrat urba,Habitatges unifamiliars aillats
Arees de vianants sense vegetacio,Arbrat urba
Arees de vianants sense vegetacio,Sols nus urbans no edificats
Canyars,Prats i herbassars
Conreus abandonats - matollars,Matollars
Conreus abandonats - matollars,Pineda de pi blanc (5-20%cc)
Conreus en transformacio,Altres conreus herbacis
Edificis aillats,Altres construccions
Edificis aillats,Habitatges unifamiliars adossats
Edificis entre mitgeres,Arbrat urba
Edificis entre mitgeres,Edificis aillats
Fruiters no citrics,Conreus abandonats - prats en zones forestals
Habitatges unifamiliars aillats,Franja de proteccio de pi blanc
Habitatges unifamiliars aillats,Fruiters no citrics en regadiu
Habitatges unifamiliars aillats,Pineda de pi blanc (>= 20%cc)
Habitatges unifamiliars aillats,Pineda de pi pinyer (>= 20%cc)
Habitatges unifamiliars aillats,Sol nu per accio antropica
Matollars,Arbrat urba
Matollars,Conreus abandonats - matollars
Matollars,Franja de proteccio de pi blanc
Matollars,Grans vials
Matollars,Moviments de terres
Matollars,Pineda de pi blanc (>= 20%cc)
Matollars,Pineda de pi blanc (5-20%cc)
Matollars,Zones cremades
Matollars de formacions de ribera,Canyars
Pineda de pi blanc (>= 20%cc),Alzinar (>= 20%cc)
Pineda de pi blanc (>= 20%cc),Arbrat urba
Pineda de pi blanc (>= 20%cc),Canyars
Pineda de pi blanc (>= 20%cc),Matollars
Pineda de pi blanc (>= 20%cc),Matollars de formacions de ribera
Pineda de pi blanc (>= 20%cc),Matollars en linies electriques
Pineda de pi blanc (>= 20%cc),Pineda de pi blanc (5-20%cc)
Pineda de pi blanc (5-20%cc),Alzinar (5-20%cc)
Pineda de pi blanc (5-20%cc),Pineda de pi blanc (>= 20%cc)
Prats i herbassars,Conreus abandonats - matollars
Prats i herbassars,Conreus en transformacio
Prats i herbassars,Habitatges unifamiliars adossats
Prats i herbassars,Habitatges unifamiliars aillats
Prats i herbassars,Matollars
Prats i herbassars,Matollars de formacions de ribera
Prats i herbassars,Naus
Prats i herbassars,Pineda de pi pinyer (5-20%cc)
Prats i herbassars,Sols nus urbans no edificats
Prats i herbassars procedents de tallades arreu,Matollars
Roquissars,Matollars
Sol nu per accio antropica,Altres conreus herbacis
Sol nu per accio antropica,Moviments de terres
Sol nu per accio antropica,Prats i herbassars
Sols nus urbans no edificats,Arbrat urba
Sols nus urbans no edificats,Naus
Sols nus urbans no edificats,Sol nu per accio antropica
Vinyes abandonades - prats en zones agricoles,Conreus abandonats - matollars
Zones d'aparcament,Sols nus urbans no edificats
Zones urbanes en construccio,Altres construccions
Zones verdes artificials urbanes,Conreus en transformacio
